id,name,sigNote
3,Gloomfang,its always-Blind can never be evaded
4,Hushblade,anti-caster: silence + shrug off spells
6,Sanguine Gauche,"tanky parry duelist: takes less, out-drains the rest (HP Boost can't be granted live -- max HP bakes at build)"
8,Mortal Coil,desperation: the cornered executioner hits harder as he bleeds
9,Galewind,"Infatuation. the gale sweeps charmed foes off their feet: while a +3 Galewind is equipped, a landed Charm cannot be broken by damage for 3 of the target turns, then force-clears"
10,Zwill Straightblade,"Bloodthirst. legendary assassin flow. VERIFIED LIVE 2026-06-09: kill -> bonus turn right after the kill-turn, survives long post-kill deliberation. Scheduler CT (band entry +0x25 == combat +0x41) slammed until the bonus move's turn-end confirms consumption (ExtraTurn.cs); twin-filtered band locator. Replaced the Dual Wield fallback; no chaining (one bonus per kill-turn)"
11,Swiftfang,DRAFT grant ideas — +: Speed+1 (scale the Speed formula); +2: Speed+1 + Dual Wield (double hits maximize returns); +3: First Strike (reaction: clean with Dual Wield) (Nimble duelist whose cuts grow faster with momentum)
12,Mistedge,DRAFT grant ideas — +: Move+1 (close gaps and position at range 2); +2: Move+1 + Dual Wield (two range-2 hits per turn); +3: Teleport (escape hatch rewards aggressive ranged play) (Reach assassin who strikes from shadow and fades)
13,Frost Kodachi,DRAFT grant ideas — +: Magick Boost (amplify Ice procs — touch-based not PA); +2: Magick Boost + Magick Def Boost (mage-lean defense); +3: Reflexes (reaction: dodge while chilling) (Elemental generalist whose icy cuts stack into a blizzard)
14,Raijin Longblade,DRAFT grant ideas — +: Defense Boost (highest-evade defensive identity); +2: Defense Boost + Magick Boost (Lightning scales MA); +3: Concentration (never-miss on the dodge ninja) (Shock-specialist duelist balancing speed and survivability)
15,Silentfang,DRAFT grant ideas — +: Attack Boost (ensure the Silence-proc hit lands hard); +2: Attack Boost + Swiftspell (act before silenced foes); +3: Magick Counter (reaction: mirror enemy casts) (Silence-striker whose Hush denies enemy agency)
16,Sasuke's Blade,DRAFT grant ideas — +: First Strike (reaction: guarantee the early Sleep hit); +2: Dual Wield (two Sleep procs per turn — soft-lock); +3: Crit:Quick (reaction: crit-speed variance reward) (Legendary shadow-blade whose Sleep denies the mightiest foe)
17,Iga Blade,DRAFT grant ideas — +: Attack Boost (modest pure-DPS refinement); +2: Attack Boost + Doublehand (single-wield PA scaling); +3: Brawler (unarmed-combo skill-crafter capstone) (Exemplary blade of raw damage and flawless balance)
18,Koga Blade,DRAFT grant ideas — +: Attack Boost (Poison procs land and stack fast); +2: Attack Boost + Regenerate (outlast foes; no stack conflict); +3: Dragonheart (reaction: HP-scaling for endgame attrition) (Dark-venom assassin whose Poison chips relentless damage)
19,Vagabond,DRAFT grant ideas — +: Attack Boost (modest offensive complement); +2: Attack Boost + Reflexes (stacks clean with dodge); +3: Move+1 (modest tier-1 mobility) (Nimble budget evasion over raw damage)
20,Cleaver,DRAFT grant ideas — +: Attack Boost (raw aggressor support); +2: Attack Boost + Defense Boost (push damage while tanking); +3: Move+1 (modest early mobility) (Heavy knockback starter for early aggression)
